turnover_30d_rank,buyout_turnover_30d_rank,nm_id,product_url,wb_product_name,recommendation_type,ordered_turnover_30d,buyout_turnover_30d,ordered_chart_days_30d,buyout_chart_days_30d,start_date,end_date,observed_start_date,observed_end_date,reviews_count,feedbacks_count_raw,card_feedback_count,card_feedback_rating,card_feedback_source,card_imt_id,card_imt_name,card_create_date,card_age_days,card_create_ordinal,log_ordered_turnover_30d,log_buyout_turnover_30d,log_reviews_count,log_card_feedback_count
33.0,32.0,768319065,https://www.wildberries.ru/catalog/768319065/detail.aspx,Блендер стационарный мощный со стеклянной чашей PTB 1037G,обычная карточка,2466257,2086295,30,30,2026-05-28,2026-06-26,2026-05-28,2026-06-26,225.0,225.0,10722,4.8,https://feedbacks1.wb.ru/feedbacks/v2/791989624,791989624,Блендер стационарный мощный со стеклянной чашей PTB 1037G,2026-01-20,160,739636,14.718212580104883,14.55090080284632,5.420534999272286,9.280146246220145
34.0,33.0,316171067,https://www.wildberries.ru/catalog/316171067/detail.aspx,Блендер погружной измельчитель мощный электрический,обычная карточка,2386033,2008896,30,30,2026-05-28,2026-06-26,2026-05-28,2026-06-26,1523.0,1523.0,1494,4.9,https://feedbacks1.wb.ru/feedbacks/v2/200103221,200103221,Блендер погружной измельчитель мощный электрический,2025-01-20,525,739271,14.685143131328916,14.513096373194553,7.329093736246592,7.3098814858247865
35.0,38.0,897114209,https://www.wildberries.ru/catalog/897114209/detail.aspx,Блендер погружной мощный 5 в 1 с чашей и капучинатором,разгоняющаяся новинка,2336615,1911608,30,30,2026-05-28,2026-06-26,2026-05-28,2026-06-26,403.0,403.0,406,4.9,https://feedbacks1.wb.ru/feedbacks/v2/1094330875,1094330875,Блендер погружной мощный 5 в 1 с чашей и капучинатором,2026-03-18,103,739693,14.66421428679802,14.463455853772986,6.0014148779611505,6.008813185442595
36.0,39.0,445935924,https://www.wildberries.ru/catalog/445935924/detail.aspx,Блендер стационарный мощный для смузи коктейлей измельчения,обычная карточка,2290372,1824135,30,30,2026-05-28,2026-06-26,2026-05-28,2026-06-26,1829.0,1829.0,1835,4.7,https://feedbacks1.wb.ru/feedbacks/v2/606155304,606155304,Блендер стационарный мощный для смузи коктейлей измельчения,2025-06-19,375,739421,14.644225244362644,14.41661700824036,7.512071245835466,7.515344571180436
37.0,37.0,251022820,https://www.wildberries.ru/catalog/251022820/detail.aspx,Блендер погружной мощный 8 в 1 для измельчения и смешивания,обычная карточка,2202174,1915781,30,30,2026-05-28,2026-06-26,2026-05-28,2026-06-26,2346.0,2346.0,2354,4.9,https://feedbacks1.wb.ru/feedbacks/v2/658124207,658124207,Блендер погружной мощный 8 в 1 для измельчения и смешивания,2024-08-08,690,739106,14.604956066313111,14.465636452334019,7.760893195851024,7.764296006450518
38.0,44.0,460767433,https://www.wildberries.ru/catalog/460767433/detail.aspx,Блендер погружной 4 в 1 с венчиком и измельчителем,обычная карточка,2128261,1663883,30,30,2026-05-28,2026-06-26,2026-05-28,2026-06-26,616.0,616.0,623,4.8,https://feedbacks1.wb.ru/feedbacks/v2/459716739,459716739,Блендер погружной 4 в 1 с венчиком и измельчителем,2025-07-08,356,739440,14.570816242165742,14.324665186394867,6.424869023905388,6.436150368369428
39.0,45.0,525020543,https://www.wildberries.ru/catalog/525020543/detail.aspx,Блендер стационарный с кофемолкой 1200 Вт,средневозрастной кандидат,2106970,1626871,30,30,2026-05-28,2026-06-26,2026-05-28,2026-06-26,1062.0,1062.0,1089,4.6,https://feedbacks1.wb.ru/feedbacks/v2/532593361,532593361,Блендер стационарный с кофемолкой 1200 Вт,2025-09-08,294,739502,14.560761929046613,14.302169710703144,6.968850378341948,6.993932975223189
40.0,35.0,960472797,https://www.wildberries.ru/catalog/960472797/detail.aspx,Блендер стационарный мощный для смузи коктейлей измельчения,обычная карточка,2083199,1960535,30,30,2026-05-28,2026-06-26,2026-05-28,2026-06-26,744.0,744.0,749,5.0,https://feedbacks1.wb.ru/feedbacks/v2/561399930,561399930,Блендер стационарный мощный для смузи коктейлей измельчения,2026-04-12,78,739718,14.549415730996387,14.488728463208519,6.61338421837956,6.620073206530356
41.0,43.0,692985933,https://www.wildberries.ru/catalog/692985933/detail.aspx,"Блендер-суповарка с нагревом DeMixi 7 в 1, белый",обычная карточка,2077800,1707500,30,30,2026-05-28,2026-06-26,2026-05-28,2026-06-26,136.0,136.0,288,4.9,https://feedbacks1.wb.ru/feedbacks/v2/699426059,699426059,"Блендер-суповарка с нагревом DEMIAND DeMixi 7 в 1, белый",2025-12-08,203,739593,14.546820680896728,14.350541456078448,4.919980925828125,5.666426688112432
42.0,34.0,411849417,https://www.wildberries.ru/catalog/411849417/detail.aspx,Погружной блендер 7в1 кухонный комбайн,обычная карточка,2014298,1976682,30,30,2026-05-28,2026-06-26,2026-05-28,2026-06-26,2836.0,2836.0,2936,4.9,https://feedbacks1.wb.ru/feedbacks/v2/1208250931,1208250931,Погружной блендер 7в1 кухонный комбайн,2025-05-06,419,739377,14.515781802016013,14.4969307453408,7.950502434808851,7.98514393119862
43.0,36.0,565176983,https://www.wildberries.ru/catalog/565176983/detail.aspx,Погружной блендер мощный для измельчения без насадок,обычная карточка,1996165,1917263,30,30,2026-05-28,2026-06-26,2026-05-28,2026-06-26,2206.0,2206.0,2231,4.9,https://feedbacks1.wb.ru/feedbacks/v2/2690385424,2690385424,Погружной блендер мощный для измельчения без насадок,2025-10-13,259,739537,14.506738898728084,14.466409727725885,7.699389406256737,7.710653323501202
44.0,42.0,59487187,https://www.wildberries.ru/catalog/59487187/detail.aspx,Блендер погружной мощный PHB 1476 с измельчителем,обычная карточка,1991816,1771634,30,30,2026-05-28,2026-06-26,2026-05-28,2026-06-26,3812.0,3812.0,10722,4.8,https://feedbacks1.wb.ru/feedbacks/v2/791989624,791989624,Блендер погружной мощный PHB 1476 с измельчителем,2022-01-19,1622,738174,14.504557845436727,14.38741340698866,8.246171559857563,9.280146246220145
45.0,47.0,923532421,https://www.wildberries.ru/catalog/923532421/detail.aspx,Блендер для смузи и коктейлей портативный беспроводной,обычная карточка,1873444,1604763,30,30,2026-05-28,2026-06-26,2026-05-28,2026-06-26,601.0,601.0,604,4.9,https://feedbacks1.wb.ru/feedbacks/v2/2234441453,2234441453,Блендер для смузи и коктейлей портативный беспроводной,2026-03-30,91,739705,14.443289539966171,14.288487263236297,6.400257445308821,6.405228458030842
46.0,40.0,874385114,https://www.wildberries.ru/catalog/874385114/detail.aspx,Блендер погружной мощный 4в1,обычная карточка,1809826,1803955,30,30,2026-05-28,2026-06-26,2026-05-28,2026-06-26,298.0,298.0,306,4.8,https://feedbacks1.wb.ru/feedbacks/v2/996456474,996456474,Блендер погружной мощный 4в1,2026-03-09,112,739684,14.408741818563442,14.405492589063357,5.700443573390687,5.726847747587197
47.0,46.0,839592432,https://www.wildberries.ru/catalog/839592432/detail.aspx,Блендер погружной кухонный мощный,обычная карточка,1740714,1616186,30,30,2026-05-28,2026-06-26,2026-05-28,2026-06-26,3509.0,3509.0,3535,4.8,https://feedbacks1.wb.ru/feedbacks/v2/877556446,877556446,Блендер погружной кухонный мощный,2026-02-20,129,739667,14.36980650632663,14.29558022919017,8.163371316459912,8.170751423757535
48.0,48.0,17661407,https://www.wildberries.ru/catalog/17661407/detail.aspx,Блендер погружной PHB 1385 ручной с насадками,сильный зрелый лидер,1707248,1585861,30,30,2026-05-28,2026-06-26,2026-05-28,2026-06-26,18438.0,18438.0,38039,4.8,https://feedbacks1.wb.ru/feedbacks/v2/13151272,13151272,Блендер погружной PHB 1385 ручной с насадками,2020-12-08,2029,737767,14.350393861085868,14.276638666041917,9.822223265705164,10.546393516659327
49.0,50.0,262919877,https://www.wildberries.ru/catalog/262919877/detail.aspx,Блендер для коктейлей и смузи стационарный HB4,обычная карточка,1570581,1504916,30,30,2026-05-28,2026-06-26,2026-05-28,2026-06-26,1136.0,1136.0,2807,4.5,https://feedbacks1.wb.ru/feedbacks/v2/252574498,252574498,Блендер для коктейлей и смузи стационарный HB4,2024-09-20,647,739149,14.266956809268928,14.224248305142662,7.036148493750536,7.940227765145702
50.0,49.0,876439200,https://www.wildberries.ru/catalog/876439200/detail.aspx,Блендер погружной 3в1 со стальной насадкой 2000Вт,обычная карточка,1514942,1583775,30,30,2026-05-28,2026-06-26,2026-05-28,2026-06-26,202.0,202.0,308,4.8,https://feedbacks1.wb.ru/feedbacks/v2/981947849,981947849,Блендер погружной 3в1 со стальной насадкой 2000Вт,2026-03-10,111,739685,14.23088837245544,14.27532242721517,5.313205979041787,5.733341276897746
