low_review_rank,low_review_opportunity_rank,rank,nm_id,product_url,reviews_count,card_create_date,card_age_days,card_create_datetime,card_update_datetime,card_imt_id,card_imt_name,card_created_status,card_created_source,reviews_status,review_rating,wb_product_name,wb_brand,low_review_opportunity_score,sales_trend_label,db_recent14_orders,db_prev14_orders,db_orders_growth_14d_pct,db_recent7_orders,db_prev7_orders,db_orders_growth_7d_pct,db_orders_slope_last28_per_day,db_recent14_revenue,db_prev14_revenue,db_revenue_growth_14d_pct,db_orders_total,db_order_revenue_total,db_buyouts_total,db_buyout_revenue_total,db_orders_per_1000_impressions,db_order_conversion_from_clicks,db_cart_to_order_ratio,db_impressions_total,db_clicks_total,db_carts_total,novelty_relevance_score,db_period_start,db_period_end,reviews_fetched_at,reviews_source
19.0,8.0,22,844743357,https://www.wildberries.ru/catalog/844743357/detail.aspx,855.0,2026-02-23,126,2026-02-23T12:04:08.026913Z,2026-06-19T12:58:41.241824Z,426518333,Блендер портативный для смузи и коктейлей,ok,https://basket-38.wbbasket.ru/vol8447/part844743/844743357/info/ru/card.json,ok,4.9,Блендер портативный для смузи и коктейлей,UNIQUENITY,68.5809574468085,stable_positive,805.0,803.0,0.249066002490661,374.0,431.0,-13.225058004640369,0.0071154898741112,1569757.0,1573655.0,-0.2477035944981609,3373.0,7303147.0,2626.0,5716589.0,1.7371563476764182,3.382403080563968,20.437469704314108,1941679.0,99722.0,16504.0,55.45,2026-03-29,2026-06-26,2026-06-29T13:12:05+00:00,https://card.wb.ru/cards/v4/detail
20.0,11.0,2,554546424,https://www.wildberries.ru/catalog/554546424/detail.aspx,993.0,2025-10-05,267,2025-10-05T11:27:39.046513Z,2026-06-22T11:51:10.873822Z,583423482,Блендер погружной мощный с чашей и стаканом 4в1,ok,https://basket-29.wbbasket.ru/vol5545/part554546/554546424/info/ru/card.json,ok,4.8,Блендер погружной мощный с чашей и стаканом 4в1,Bocsh,66.19351063829787,declining,582.0,595.0,-2.1848739495798353,280.0,302.0,-7.284768211920534,-0.1425834701696759,1655212.0,1692188.0,-2.1851000007091392,5695.0,16264674.0,4919.0,14045757.0,2.4948941192344725,3.243461818844542,22.15867086883779,2282662.0,175584.0,25701.0,77.817,2026-03-29,2026-06-26,2026-06-29T13:12:05+00:00,https://card.wb.ru/cards/v4/detail
21.0,5.0,6,525020543,https://www.wildberries.ru/catalog/525020543/detail.aspx,1062.0,2025-09-08,294,2025-09-08T09:35:07.210301Z,2026-06-29T10:24:05.744578Z,532593361,Блендер стационарный с кофемолкой 1200 Вт,ok,https://basket-28.wbbasket.ru/vol5250/part525020/525020543/info/ru/card.json,ok,4.6,Блендер стационарный с кофемолкой 1200 Вт,GT,72.11106382978724,growing,495.0,335.0,47.76119402985075,312.0,183.0,70.49180327868851,0.6371100164203615,1162070.0,770174.0,50.88408593382794,4511.0,10479346.0,3832.0,8868184.0,2.9575615164272184,4.982548378545551,25.3170950723987,1525243.0,90536.0,17818.0,65.882,2026-03-29,2026-06-26,2026-06-29T13:12:05+00:00,https://card.wb.ru/cards/v4/detail
22.0,39.0,29,262919877,https://www.wildberries.ru/catalog/262919877/detail.aspx,1136.0,2024-09-20,647,2024-09-20T08:50:32.247121Z,2026-06-06T08:52:59.444231Z,252574498,Блендер для коктейлей и смузи стационарный HB4,ok,https://basket-17.wbbasket.ru/vol2629/part262919/262919877/info/ru/card.json,ok,4.4,Блендер для коктейлей и смузи стационарный HB4,Futula,31.973617021276603,declining,65.0,458.0,-85.80786026200873,19.0,46.0,-58.69565217391304,-1.6614668856048154,179424.0,1244439.0,-85.58193692097403,2636.0,7267946.0,2226.0,6129777.0,2.0747067587744117,2.597965780966648,20.504044803982577,1270541.0,101464.0,12856.0,50.383,2026-03-29,2026-06-26,2026-06-29T13:12:05+00:00,https://card.wb.ru/cards/v4/detail
23.0,17.0,30,291877224,https://www.wildberries.ru/catalog/291877224/detail.aspx,1277.0,2024-11-26,580,2024-11-26T10:48:01.932629Z,2026-04-20T11:18:00.524604Z,272258731,"Блендер погружной мощный, кухонный комбайн для смузи",ok,https://basket-18.wbbasket.ru/vol2918/part291877/291877224/info/ru/card.json,ok,4.7,"Блендер погружной мощный, кухонный комбайн для смузи",Mojo,61.901170212765955,growing,292.0,238.0,22.68907563025211,131.0,161.0,-18.633540372670808,0.137383689107827,1369935.0,1155744.0,18.53273735360079,1501.0,7245072.0,1263.0,6128504.0,1.0163950411298033,1.2780559245257317,17.849922701867047,1476788.0,117444.0,8409.0,50.28299999999999,2026-03-29,2026-06-26,2026-06-29T13:12:05+00:00,https://card.wb.ru/cards/v4/detail
24.0,13.0,9,316171067,https://www.wildberries.ru/catalog/316171067/detail.aspx,1523.0,2025-01-20,525,2025-01-20T11:04:09.99661Z,2026-06-19T18:59:27.85049Z,200103221,Блендер погружной измельчитель мощный электрический,ok,https://basket-19.wbbasket.ru/vol3161/part316171/316171067/info/ru/card.json,ok,4.9,Блендер погружной измельчитель мощный электрический,FELFRI,63.06372340425531,growing,400.0,332.0,20.481927710843383,187.0,213.0,-12.20657276995305,0.2993979200875752,1237330.0,1055453.0,17.232126868747354,2226.0,7459391.0,2009.0,6726804.0,1.0793418051482568,3.8641808144984897,23.992239706833367,2062368.0,57606.0,9278.0,63.892,2026-03-29,2026-06-26,2026-06-29T13:12:05+00:00,https://card.wb.ru/cards/v4/detail
25.0,35.0,47,476029226,https://www.wildberries.ru/catalog/476029226/detail.aspx,1527.0,2025-07-23,341,2025-07-23T11:26:33.860416Z,2026-06-29T08:24:16.04088Z,676253599,Блендер погружной мощный 8 в 1 для измельчения и смешивания,ok,https://basket-26.wbbasket.ru/vol4760/part476029/476029226/info/ru/card.json,ok,4.9,Блендер погружной мощный 8 в 1 для измельчения и смешивания,Luxento,41.75627659574469,declining,129.0,189.0,-31.746031746031743,64.0,65.0,-1.538461538461533,-0.3448275862068962,942181.0,1371196.0,-31.287649613913693,721.0,5258199.0,645.0,4705747.0,0.3399456935575812,1.307177692767917,11.548934806983825,2120927.0,55157.0,6243.0,31.205000000000005,2026-03-29,2026-06-26,2026-06-29T13:12:05+00:00,https://card.wb.ru/cards/v4/detail
26.0,32.0,5,262683065,https://www.wildberries.ru/catalog/262683065/detail.aspx,1812.0,2024-09-19,648,2024-09-19T12:30:59.100589Z,2026-05-25T08:32:27.487376Z,240317889,Блендер для смузи стационарный 2 в 1 мощный,ok,https://basket-17.wbbasket.ru/vol2626/part262683/262683065/info/ru/card.json,ok,4.5,Блендер для смузи стационарный 2 в 1 мощный,ARIGATO,45.12382978723404,declining,988.0,1369.0,-27.83053323593864,299.0,689.0,-56.60377358490566,-1.9548440065681405,2619916.0,3062405.0,-14.44906862416957,6139.0,15590687.0,4743.0,11981798.0,2.395461460931034,4.108773057050303,20.231347218560504,2562763.0,149412.0,30344.0,69.558,2026-03-29,2026-06-26,2026-06-29T13:12:05+00:00,https://card.wb.ru/cards/v4/detail
27.0,24.0,24,445935924,https://www.wildberries.ru/catalog/445935924/detail.aspx,1829.0,2025-06-19,375,2025-06-19T08:11:14.287637Z,2026-06-25T09:21:15.598931Z,606155304,Блендер стационарный мощный для смузи коктейлей измельчения,ok,https://basket-25.wbbasket.ru/vol4459/part445935/445935924/info/ru/card.json,ok,4.7,Блендер стационарный мощный для смузи коктейлей измельчения,FELFRI,52.436382978723394,growing,310.0,239.0,29.707112970711293,103.0,207.0,-50.24154589371981,0.1874657909140671,1250017.0,954855.0,30.911709107665565,1565.0,6892360.0,1440.0,6327524.0,0.3418576391202222,1.7923199376982717,12.90189612530915,4577929.0,87317.0,12130.0,53.501,2026-03-29,2026-06-26,2026-06-29T13:12:05+00:00,https://card.wb.ru/cards/v4/detail
28.0,12.0,3,767075015,https://www.wildberries.ru/catalog/767075015/detail.aspx,1871.0,2026-01-19,161,2026-01-19T14:11:15.726171Z,2026-06-24T12:02:37.617531Z,790067487,Блендер портативный для смузи и коктейлей 2 в 1,ok,https://basket-35.wbbasket.ru/vol7670/part767075/767075015/info/ru/card.json,ok,4.9,Блендер портативный для смузи и коктейлей 2 в 1,,64.63148936170214,recovering_from_decline,1943.0,1999.0,-2.801400700350176,893.0,1050.0,-14.95238095238095,0.5457875457875451,3401692.0,3746051.0,-9.192587073694405,11211.0,22396658.0,8936.0,17984919.0,2.521379208595944,3.645652110289838,24.017738549209476,4446376.0,307517.0,46678.0,77.205,2026-03-28,2026-06-25,2026-06-29T13:12:05+00:00,https://card.wb.ru/cards/v4/detail
