rtccb_opportunity_rank,rtccb_opportunity_score,rtccb_market_strength_rank,rtccb_market_strength_score,nm_id,product_url,reviews_count,card_create_date,card_age_days,card_create_datetime,card_update_datetime,card_imt_id,card_imt_name,card_created_status,card_created_source,reviews_status,wb_product_name,wb_brand,review_rating,sales_trend_label,reviews_barrier_component,reviews_trust_component,trend_component,clicks_component,order_conversion_component,buyout_component,db_recent14_orders,db_prev14_orders,db_orders_growth_14d_pct,db_orders_growth_7d_pct,db_orders_slope_last28_per_day,recent14_clicks,prev14_clicks,clicks_growth_14d_pct,db_clicks_total,db_order_conversion_from_clicks,recent14_order_conversion,db_buyouts_total,db_buyout_revenue_total,recent14_buyout_rate,db_orders_total,db_order_revenue_total,novelty_relevance_score,reviews_fetched_at,reviews_source
22.0,53.513297872340424,25.0,52.662234042553195,291877224,https://www.wildberries.ru/catalog/291877224/detail.aspx,1277.0,2024-11-26,580,2024-11-26T10:48:01.932629Z,2026-04-20T11:18:00.524604Z,272258731,"Блендер погружной мощный, кухонный комбайн для смузи",ok,https://basket-18.wbbasket.ru/vol2918/part291877/291877224/info/ru/card.json,ok,"Блендер погружной мощный, кухонный комбайн для смузи",Mojo,4.7,growing,0.5319148936170213,0.4893617021276595,0.797,0.693,0.192,0.35,292.0,238.0,22.68907563025211,-18.633540372670808,0.137383689107827,25748.0,22340.0,15.255147717099373,117444.0,1.2780559245257317,1.1340686655274197,1263.0,6128504.0,84.24657534246576,1501.0,7245072.0,50.28299999999999,2026-06-29T13:12:05+00:00,https://card.wb.ru/cards/v4/detail
40.0,38.03872340425532,26.0,52.5068085106383,59487187,https://www.wildberries.ru/catalog/59487187/detail.aspx,3812.0,2022-01-19,1622,2022-01-19T17:52:49Z,2026-06-26T05:39:55.141326Z,791989624,Блендер погружной мощный PHB 1476 с измельчителем,ok,https://basket-04.wbbasket.ru/vol594/part59487/59487187/info/ru/card.json,ok,Блендер погружной мощный PHB 1476 с измельчителем,POLARIS,4.9,declining,0.1489361702127659,0.8723404255319149,0.5170000000000001,0.416,0.3359999999999999,0.473,181.0,214.0,-15.420560747663547,-42.608695652173914,-0.1278051450465241,12662.0,12407.0,2.0552913677762463,60936.0,1.796967309964553,1.429474016743011,924.0,4262524.0,98.34254143646407,1095.0,5071370.0,39.904,2026-06-29T13:12:05+00:00,https://card.wb.ru/cards/v4/detail
11.0,59.90755319148936,27.0,52.24797872340425,708374336,https://www.wildberries.ru/catalog/708374336/detail.aspx,636.0,2025-12-16,195,2025-12-16T10:45:09.126131Z,2026-03-12T03:32:02.535576Z,724173790,"Блендер погружной ручной с насадками, 2000Вт",ok,https://basket-34.wbbasket.ru/vol7083/part708374/708374336/info/ru/card.json,ok,"Блендер погружной ручной с насадками, 2000Вт",Home One,4.8,declining,0.7021276595744681,0.3191489361702128,0.401,0.6779999999999999,0.676,0.5840000000000001,712.0,986.0,-27.789046653144013,-33.64485981308412,-1.338806787082648,30919.0,17266.0,79.07448164021777,50530.0,3.5622402533148625,2.302791164009186,1437.0,4362336.0,99.57865168539324,1800.0,5497888.0,47.182,2026-06-29T13:12:05+00:00,https://card.wb.ru/cards/v4/detail
45.0,33.736595744680855,28.0,51.60893617021276,585130046,https://www.wildberries.ru/catalog/585130046/detail.aspx,7211.0,2025-10-28,244,2025-10-28T15:50:28.860044Z,2026-06-29T10:39:05.148621Z,2850284356,Стационарный блендер для смузи и коктейлей,ok,https://basket-30.wbbasket.ru/vol5851/part585130/585130046/info/ru/card.json,ok,Стационарный блендер для смузи и коктейлей,Doxel,5.0,declining,0.0638297872340425,0.9574468085106383,0.082,0.733,0.192,0.7939999999999999,311.0,668.0,-53.4431137724551,-78.515625,-1.8095238095238095,29563.0,47506.0,-37.76996589904434,219382.0,1.7462690649187262,1.0519906640056829,3040.0,15925023.0,100.0,3831.0,20217102.0,57.962,2026-06-29T13:12:05+00:00,https://card.wb.ru/cards/v4/detail
7.0,63.83297872340425,29.0,51.49255319148936,897114209,https://www.wildberries.ru/catalog/897114209/detail.aspx,403.0,2026-03-18,103,2026-03-18T21:28:57.430993Z,2026-06-25T13:25:23.27003Z,1094330875,Блендер погружной мощный 5 в 1 с чашей и капучинатором,ok,https://basket-39.wbbasket.ru/vol8971/part897114/897114209/info/ru/card.json,ok,Блендер погружной мощный 5 в 1 с чашей и капучинатором,,4.9,stable_positive,0.8191489361702128,0.202127659574468,0.741,0.54,0.532,0.499,334.0,313.0,6.709265175718859,-21.3903743315508,0.0604816639299399,17831.0,13056.0,36.57322303921568,71381.0,2.7990641767417097,1.873142280298357,1662.0,5632071.0,88.62275449101796,1998.0,6784558.0,56.249,2026-06-29T13:12:05+00:00,https://card.wb.ru/cards/v4/detail
14.0,57.052021276595745,30.0,50.24351063829787,495982950,https://www.wildberries.ru/catalog/495982950/detail.aspx,658.0,2025-08-14,319,2025-08-14T17:33:02.853634Z,2026-03-09T23:33:57.470437Z,503303368,Блендер погружной для измельчения и смешивания,ok,https://basket-27.wbbasket.ru/vol4959/part495982/495982950/info/ru/card.json,ok,Блендер погружной для измельчения и смешивания,,4.8,declining,0.6808510638297872,0.3404255319148936,0.362,0.3339999999999999,0.8640000000000001,0.695,454.0,626.0,-27.47603833865815,-25.384615384615383,-1.1143951833606998,11741.0,15538.0,-24.436864461320628,71246.0,4.5911349409089635,3.866791585043863,2847.0,7079622.0,98.45814977973568,3271.0,8137165.0,65.53200000000001,2026-06-29T13:12:05+00:00,https://card.wb.ru/cards/v4/detail
17.0,55.26414893617021,31.0,45.05138297872341,618438907,https://www.wildberries.ru/catalog/618438907/detail.aspx,565.0,2025-11-14,227,2025-11-14T17:14:00.085653Z,2026-06-29T08:35:21.05299Z,634186171,Блендер погружной мощный 8в1 для измельчения и смешивания,ok,https://basket-31.wbbasket.ru/vol6184/part618438/618438907/info/ru/card.json,ok,Блендер погружной мощный 8в1 для измельчения и смешивания,LUMERO,5.0,stable_positive,0.7659574468085106,0.2553191489361702,0.788,0.55,0.244,0.291,262.0,245.0,6.938775510204076,3.100775193798455,0.0221674876847292,19328.0,20046.0,-3.5817619475207008,92764.0,1.192272864473287,1.355546357615894,937.0,6884705.0,80.53435114503816,1106.0,8137322.0,43.071,2026-06-29T13:12:05+00:00,https://card.wb.ru/cards/v4/detail
44.0,35.06744680851064,32.0,43.578085106382986,251022820,https://www.wildberries.ru/catalog/251022820/detail.aspx,2346.0,2024-08-08,690,2024-08-08T14:35:52.493712Z,2026-06-29T08:30:47.858468Z,658124207,Блендер погружной мощный 8 в 1 для измельчения и смешивания,ok,https://basket-16.wbbasket.ru/vol2510/part251022/251022820/info/ru/card.json,ok,Блендер погружной мощный 8 в 1 для измельчения и смешивания,Tech & Design,4.9,declining,0.2978723404255319,0.723404255319149,0.53,0.365,0.164,0.352,122.0,154.0,-20.779220779220775,-3.2258064516129004,-0.1510673234811164,10792.0,12010.0,-10.14154870940882,85455.0,1.191270259200749,1.1304670126019274,927.0,6779985.0,85.24590163934425,1018.0,7444765.0,39.690999999999995,2026-06-29T13:12:05+00:00,https://card.wb.ru/cards/v4/detail
21.0,53.789680851063835,33.0,42.725851063829786,692973678,https://www.wildberries.ru/catalog/692973678/detail.aspx,454.0,2025-12-08,203,2025-12-08T12:16:42.667153Z,2026-06-22T14:50:54.110588Z,693879387,"Блендер-суповарка с нагревом DEMIAND DeMixi 7 в 1, белый",ok,https://basket-33.wbbasket.ru/vol6929/part692973/692973678/info/ru/card.json,ok,"Блендер-суповарка с нагревом DeMixi 7 в 1, белый",DEMIAND,4.9,declining,0.7872340425531915,0.2340425531914893,0.691,0.9,0.02,0.158,128.0,153.0,-16.33986928104575,32.72727272727274,-0.1135741652983031,37701.0,17033.0,121.34092643691656,203793.0,0.4867684365998832,0.3395135407548871,633.0,12146785.0,57.03125,992.0,19274719.0,36.553,2026-06-29T13:12:05+00:00,https://card.wb.ru/cards/v4/detail
47.0,30.47031914893617,34.0,42.38521276595745,411849417,https://www.wildberries.ru/catalog/411849417/detail.aspx,2836.0,2025-05-06,419,2025-05-06T16:20:15.380184Z,2026-06-10T13:03:21.337699Z,1208250931,Погружной блендер 7в1 кухонный комбайн,ok,https://basket-23.wbbasket.ru/vol4118/part411849/411849417/info/ru/card.json,ok,Погружной блендер 7в1 кухонный комбайн,GORIZZ,4.9,declining,0.2127659574468085,0.8085106382978723,0.3,0.207,0.38,0.4649999999999999,106.0,157.0,-32.484076433121025,-46.37681159420289,-0.332512315270936,6863.0,8020.0,-14.426433915211966,54750.0,1.815525114155251,1.544514060906309,895.0,6038626.0,96.22641509433964,994.0,6711947.0,39.447,2026-06-29T13:12:05+00:00,https://card.wb.ru/cards/v4/detail
10.0,60.97946808510639,35.0,42.25606382978723,961659889,https://www.wildberries.ru/catalog/961659889/detail.aspx,133.0,2026-04-13,77,2026-04-13T10:02:30.918816Z,2026-06-22T11:51:10.873835Z,583423482,Блендер погружной мощный с чашей и стаканом 6в1,ok,https://basket-41.wbbasket.ru/vol9616/part961659/961659889/info/ru/card.json,ok,Блендер погружной мощный с чашей и стаканом 6в1,Bocsh,4.8,declining,0.9787234042553192,0.0425531914893617,0.482,0.387,0.6599999999999999,0.561,376.0,438.0,-14.155251141552515,-34.36123348017621,-0.4324028461959495,13257.0,14870.0,-10.847343644922658,58996.0,2.6578073089701,2.8362374594553823,1323.0,4229680.0,98.67021276595744,1568.0,5012947.0,46.693,2026-06-29T13:12:05+00:00,https://card.wb.ru/cards/v4/detail
18.0,55.10627659574469,36.0,41.489255319148945,874385114,https://www.wildberries.ru/catalog/874385114/detail.aspx,298.0,2026-03-09,112,2026-03-09T10:21:52.686356Z,2026-06-01T09:55:20.322485Z,996456474,Блендер погружной мощный 4в1,ok,https://basket-39.wbbasket.ru/vol8743/part874385/874385114/info/ru/card.json,ok,Блендер погружной мощный 4в1,TOMMY ARIKO,4.8,declining,0.851063829787234,0.1702127659574468,0.295,0.356,0.6080000000000001,0.762,221.0,342.0,-35.380116959064324,-25.984251968503933,-0.6981390257252321,9319.0,13725.0,-32.102003642987256,138055.0,2.5134909999637824,2.371499087884966,2986.0,8793646.0,100.4524886877828,3470.0,10217890.0,56.298,2026-06-29T13:12:05+00:00,https://card.wb.ru/cards/v4/detail
19.0,54.50680851063831,37.0,40.03872340425533,1032349251,https://www.wildberries.ru/catalog/1032349251/detail.aspx,231.0,2026-05-15,45,2026-05-15T15:03:25.654525Z,2026-06-25T16:22:25.669426Z,2046630038,Портативный блендер для смузи и коктейлей,ok,https://basket-41.wbbasket.ru/vol10323/part1032349/1032349251/info/ru/card.json,ok,Портативный блендер для смузи и коктейлей,,4.9,declining,0.8723404255319149,0.1489361702127659,0.551,0.75,0.268,0.195,441.0,534.0,-17.41573033707865,-10.729613733905571,-0.6833607006020799,37198.0,27087.0,37.327869457673415,82782.0,1.7153487473122175,1.1855476100865636,1057.0,2661808.0,79.13832199546485,1420.0,3553263.0,39.965,2026-06-29T13:12:05+00:00,https://card.wb.ru/cards/v4/detail
37.0,41.49882978723405,38.0,39.79670212765957,262919877,https://www.wildberries.ru/catalog/262919877/detail.aspx,1136.0,2024-09-20,647,2024-09-20T08:50:32.247121Z,2026-06-06T08:52:59.444231Z,252574498,Блендер для коктейлей и смузи стационарный HB4,ok,https://basket-17.wbbasket.ru/vol2629/part262919/262919877/info/ru/card.json,ok,Блендер для коктейлей и смузи стационарный HB4,Futula,4.4,declining,0.5531914893617021,0.4680851063829787,0.082,0.183,0.628,0.8109999999999999,65.0,458.0,-85.80786026200873,-58.69565217391304,-1.6614668856048154,2708.0,16278.0,-83.36404963754761,101464.0,2.597965780966648,2.400295420974889,2226.0,6129777.0,198.46153846153845,2636.0,7267946.0,50.383,2026-06-29T13:12:05+00:00,https://card.wb.ru/cards/v4/detail
