rank,nm_id,product_name,product_url,reviews_count,card_create_date,card_age_days,card_create_datetime,card_update_datetime,card_imt_id,card_imt_name,card_created_status,card_created_source,feedbacks_count_raw,review_rating,wb_product_name,wb_brand,reviews_source,reviews_fetched_at,novelty_relevance_score,demand_score,efficiency_score,quality_score,momentum_score,price_score,orders_total,order_amount_total,buyouts_total,buyout_amount_total,impressions_total,clicks_total,carts_total,orders_per_1000_impressions,ctr_calc,cart_conv_calc,order_conv_calc,buyout_rate_calc,cancel_rate_calc,median_price,avg_position,recent14_orders,orders_growth_14d,impressions_growth_14d,zero_order_day_share,days
12,706082247,,https://www.wildberries.ru/catalog/706082247/detail.aspx,2579.0,2025-12-15,196,2025-12-15T08:55:47.015289Z,2026-06-24T08:14:07.758275Z,1670099544,Блендер ручной погружной Bt HB721SS Черно-серый,ok,https://basket-33.wbbasket.ru/vol7060/part706082/706082247/info/ru/card.json,2579.0,4.7,Блендер ручной погружной Bt HB721SS Черно-серый,Blackton,https://card.wb.ru/cards/v4/detail,2026-06-29T13:12:05+00:00,61.74799999999999,0.6727999999999998,0.7904,0.416,0.6399999999999998,0.26,7212.0,6580626.0,5903.0,5367883.0,2259644.0,163594.0,24678.0,3.1916531984684315,7.239812997091577,15.084905314375831,4.408474638434172,81.84969495285635,14.073765945646146,681.0,30.6,1122.0,-0.1744186046511628,0.0674961102374082,0.0,90
13,291892830,,https://www.wildberries.ru/catalog/291892830/detail.aspx,2052.0,2024-11-26,580,2024-11-26T11:11:50.787844Z,2026-06-03T11:12:20.915544Z,272258731,"Блендер погружной мощный, кухонный комбайн для смузи",ok,https://basket-18.wbbasket.ru/vol2918/part291892/291892830/info/ru/card.json,2052.0,4.7,"Блендер погружной мощный, кухонный комбайн для смузи",Mojo,https://card.wb.ru/cards/v4/detail,2026-06-29T13:12:05+00:00,58.828,0.7948000000000001,0.2472,0.664,0.778,0.32,3055.0,17723860.0,2471.0,14374781.0,6260728.0,200980.0,20402.0,0.4879624222614367,3.2101698077284304,10.15125883172455,1.520051746442432,80.88379705400982,10.965630114566286,4263.0,18.566666666666663,529.0,0.0222282096187525,1.8201008923564592,0.0,90
14,933956465,,https://www.wildberries.ru/catalog/933956465/detail.aspx,,2026-04-02,88,2026-04-02T15:38:22.294865Z,2026-06-29T10:39:31.354161Z,572414155,Стационарный блендер для смузи и коктейлей,ok,https://basket-40.wbbasket.ru/vol9339/part933956/933956465/info/ru/card.json,,,,,https://card.wb.ru/cards/v4/detail,2026-06-29T13:12:05+00:00,58.54699999999998,0.7831999999999999,0.4036,0.246,0.5169999999999999,0.96,3460.0,13163580.0,2723.0,10291814.0,3825928.0,194166.0,22363.0,0.9043557536890396,5.075004025167227,11.517464437646138,1.781980367314566,78.69942196531792,14.335260115606935,2733.0,13.10126582278481,563.0,-0.3400981996726677,1.9020984448225424,0.1888888888888888,90
15,883929252,Блендер стационарный для коктейлей и смузи,https://www.wildberries.ru/catalog/883929252/detail.aspx,,2026-03-13,108,2026-03-13T08:57:15.027963Z,2026-06-29T10:39:31.354161Z,572414155,Блендер стационарный для коктейлей и смузи,ok,https://basket-39.wbbasket.ru/vol8839/part883929/883929252/info/ru/card.json,,,,,https://card.wb.ru/cards/v4/detail,2026-06-29T13:12:05+00:00,58.51,0.7959999999999999,0.5824,0.111,0.375,0.88,4338.0,13517473.0,3048.0,9408528.0,2293982.0,214300.0,23308.0,1.8910348904219825,9.341834417183744,10.876341577228184,2.0242650489967335,70.26279391424619,18.74135546334717,2484.0,11.033333333333331,674.0,-0.6011611030478955,-0.3691641108569756,0.0444444444444444,90
16,585130046,,https://www.wildberries.ru/catalog/585130046/detail.aspx,7211.0,2025-10-28,244,2025-10-28T15:50:28.860044Z,2026-06-29T10:39:05.148621Z,2850284356,Стационарный блендер для смузи и коктейлей,ok,https://basket-30.wbbasket.ru/vol5851/part585130/585130046/info/ru/card.json,7211.0,5.0,Стационарный блендер для смузи и коктейлей,Doxel,https://card.wb.ru/cards/v4/detail,2026-06-29T13:12:05+00:00,57.962,0.8612,0.4168,0.344,0.536,0.42,3831.0,20217102.0,3040.0,15925023.0,4197761.0,219382.0,20951.0,0.9126293755170912,5.2261669971206075,9.550008660692308,1.7462690649187262,79.35264943878883,16.78412947011224,4012.0,8.955555555555556,311.0,-0.4883825851567787,0.8591635585549814,0.0,90
17,169884281,,https://www.wildberries.ru/catalog/169884281/detail.aspx,3401.0,2023-07-21,1074,2023-07-21T10:15:08.523101Z,2026-06-23T12:46:14.292152Z,141306040,Блендер погружной измельчитель 3 в 1 SC-HB42F35,ok,https://basket-12.wbbasket.ru/vol1698/part169884/169884281/info/ru/card.json,3401.0,4.8,Блендер погружной измельчитель 3 в 1 SC-HB42F35,Scarlett,https://card.wb.ru/cards/v4/detail,2026-06-29T13:12:05+00:00,57.178,0.5328,0.5604,0.627,0.7409999999999999,0.4,3194.0,6233215.0,2702.0,5284184.0,2637938.0,93720.0,13631.0,1.2107941884911624,3.5527749325420084,14.544387537345283,3.408023900981647,84.59611772072635,12.58609893550407,1443.0,17.6,652.0,0.1345826235093696,-0.1384072341201232,0.0,90
18,232842874,,https://www.wildberries.ru/catalog/232842874/detail.aspx,2667.0,2024-05-22,768,2024-05-22T12:41:13.732362Z,2026-05-06T08:33:27.150004Z,422295831,Блендер стационарный настольный для смузи CT-1304,ok,https://basket-15.wbbasket.ru/vol2328/part232842/232842874/info/ru/card.json,2667.0,4.4,Блендер стационарный настольный для смузи CT-1304,Centek,https://card.wb.ru/cards/v4/detail,2026-06-29T13:12:05+00:00,57.111,0.5376000000000001,0.576,0.268,0.765,0.84,2197.0,9339906.0,1604.0,6814560.0,1720019.0,93310.0,11662.0,1.277311471559326,5.4249400733363995,12.498124531132785,2.3545172007287536,73.00864815657715,18.66181156121985,3116.0,7.4,370.0,0.0239999999999999,1.977642638138192,0.0,90
19,874385114,,https://www.wildberries.ru/catalog/874385114/detail.aspx,298.0,2026-03-09,112,2026-03-09T10:21:52.686356Z,2026-06-01T09:55:20.322485Z,996456474,Блендер погружной мощный 4в1,ok,https://basket-39.wbbasket.ru/vol8743/part874385/874385114/info/ru/card.json,298.0,4.8,Блендер погружной мощный 4в1,TOMMY ARIKO,https://card.wb.ru/cards/v4/detail,2026-06-29T13:12:05+00:00,56.298,0.7508,0.4088,0.556,0.244,0.78,3470.0,10217890.0,2986.0,8793646.0,4866833.0,138055.0,19492.0,0.7129893300222135,2.836649624098464,14.119010539277824,2.5134909999637824,86.05187319884726,10.979827089337176,2301.5,18.701149425287355,221.0,-0.3398876404494381,-0.5526217692027666,0.0777777777777777,90
20,897114209,,https://www.wildberries.ru/catalog/897114209/detail.aspx,403.0,2026-03-18,103,2026-03-18T21:28:57.430993Z,2026-06-25T13:25:23.27003Z,1094330875,Блендер погружной мощный 5 в 1 с чашей и капучинатором,ok,https://basket-39.wbbasket.ru/vol8971/part897114/897114209/info/ru/card.json,403.0,4.9,Блендер погружной мощный 5 в 1 с чашей и капучинатором,,https://card.wb.ru/cards/v4/detail,2026-06-29T13:12:05+00:00,56.249,0.4204,0.5344,0.691,0.614,0.86,1998.0,6784558.0,1662.0,5632071.0,1682073.0,71381.0,9712.0,1.187820029213952,4.2436327079740295,13.605861503761504,2.7990641767417097,83.18318318318319,10.61061061061061,3099.0,23.2,334.0,0.0642201834862385,-0.3552325897236787,0.0,90
21,565176983,,https://www.wildberries.ru/catalog/565176983/detail.aspx,2206.0,2025-10-13,259,2025-10-13T18:44:45.837781Z,2026-06-22T15:47:38.377643Z,2690385424,Погружной блендер мощный для измельчения без насадок,ok,https://basket-29.wbbasket.ru/vol5651/part565176/565176983/info/ru/card.json,2206.0,4.9,Погружной блендер мощный для измельчения без насадок,Tech & Design,https://card.wb.ru/cards/v4/detail,2026-06-29T13:12:05+00:00,55.657999999999994,0.4708,0.568,0.785,0.507,0.56,2583.0,6374502.0,2342.0,5760392.0,1725497.0,86733.0,11315.0,1.4969600063054298,5.026551770301542,13.045784188255912,2.978105219466639,90.66976384049556,12.311265969802555,1800.0,19.85555555555555,313.0,-0.1506493506493506,-0.5541805137540299,0.0,90
